Reaction,Parameter Name,Mode,Spread,mu,sigma,xmin,xmax
r1,K1Glc,1.9909,1.21,0.72369,0.18732,1.6454,2.409
r1,Vm1,105.72,1.21,4.6959,0.18732,87.371,127.92
r2,K2ADPg,0.12543,1.21,-2.0409,0.18732,0.10366,0.15177
r2,K2ATPg,0.11547,1.21,-2.1236,0.18732,0.095433,0.13972
r2,K2Glc6P,11.946,1.21,2.5155,0.18732,9.8724,14.454
r2,K2GlcI,0.099547,1.21,-2.272,0.18732,0.08227,0.12045
r2,Vm2,1925.5,1.1277,7.5772,0.11931,1707.5,2171.4
r3,K3Fru6P,0.11236,2.0657,-1.8138,0.61011,0.054393,0.2321
r3,K3Glc6P,0.39819,1.21,-0.88574,0.18732,0.32908,0.48181
r3,Vm3,1300,1.1923,7.2001,0.17329,1090.3,1550
r4,K4ATPg,0.02587,1.21,-3.6196,0.18732,0.02138,0.031302
r4,K4Fru6P,0.81628,1.21,-0.1679,0.18732,0.67462,0.9877
r4,K4i1Fru16BP,15.728,1.21,2.7906,0.18732,12.999,19.031
r4,K4i2Fru16BP,10.652,1.21,2.4008,0.18732,8.8029,12.888
r4,Vm4,1683.9,1.4155,7.5374,0.32945,1189.6,2383.5
r5,K5DHAP,0.014932,1.21,-4.1692,0.18732,0.012341,0.018068
r5,K5GAP,0.066696,1.21,-2.6725,0.18732,0.055121,0.080703
r5,K5GAPi,0.097556,1.21,-2.2922,0.18732,0.080625,0.11804
r5,Vm5f,540.2,1.7102,6.5228,0.48043,315.87,923.86
r5,Vm5r,218.56,1.21,5.4221,0.18732,180.63,264.46
r6,K6DHAPg,1.1352,1.35,0.20821,0.28537,0.843,1.528
r6,K6GAP,0.2618,1.39,-1.2435,0.31118,0.1889,0.3628
r6,Vm6,1000,1.1,6.9168,0.0949,909,1100
r7,K7BPGA13,0.1,1.67,-2.0885,0.4627,0.06,0.167
r7,K7GAP,0.15,2.5,-1.373,0.7239,0.06,0.375
r7,K7NAD,0.45,2.5,-0.2744,0.7239,0.18,1.125
r7,K7NADH,0.02,2.22,-3.4832,0.6549,0.009,0.0444
r7,Vm7r,236.7,2.47,5.9811,0.7172,95.8,584.65
r7,Vm7f,710,2.47,7.0796,0.7172,287.45,1.7537e+03
r8,K8DHAPg,0.1055,1.355,-2.1648,0.291,0.07786,0.1428
r8,K8Gly3Pg,2.11,2.54,1.279,0.73209,0.829,5.33
r8,K8NAD,0.3184,3.5,-0.34533,0.89394,0.091,1.113
r8,K8NADH,0.01,1.44,-4.4868,0.3441,0.0069,0.0144
r8,Vm8f,465,3.6,6.9655,0.9075,129.16,1674
r8,Vm8r,130.2,1.1,4.8781,0.0949,118.36,143.2
r9,Vm9,368,1.1,5.9103,0.0476,334.5455,404.8
r9,K9Gly3Pc,1.72,1.1,0.5446,0.0476,1.5636,1.892
r10,K10Pyr,1.96,1.1,0.6752,0.0476,1.7818,2.156
r10,Vm10,200,1.1,5.3006,0.0476,181.8182,220
r11,K11ADPg,0.099547,1.21,-2.272,0.18732,0.08227,0.12045
r11,K11ATPg,0.25821,2.648,-0.78322,0.75549,0.097512,0.68374
r11,K11BPGA13,0.002986,1.21,-5.7786,0.18732,0.002468,0.0036135
r11,K11PGA3,1.3444,3.4264,1.0785,0.88462,0.39236,4.6064
r11,Vm11f,2859.5,1.0867,7.9653,0.082836,2631.4,3107.4
r11,Vm11r,1334.9,1.449,7.3186,0.34936,921.23,1934.2
r12,K12ADP,0.11327,1.2552,-2.1288,0.22185,0.090234,0.14218
r12,Vm12,996.87,1.5348,7.0621,0.3968,649.53,1530
r12,n12,2.4899,1.21,0.94731,0.18732,2.0577,3.0127
r13,K13,49.773,1.21,3.9426,0.18732,41.135,60.226
r14,K14ADPg,0.55964,1.074,-0.57538,0.071223,0.52108,0.60107
r14,K14ATPg,0.22513,2.0657,-1.1189,0.61011,0.10898,0.46504
r14,K14Gly,0.43107,1.4992,-0.69882,0.3777,0.28754,0.64625
r14,K14Gly3Pg,3.6682,1.7997,1.5674,0.51736,2.0383,6.6016
r14,Vm14f,199.09,1.21,5.3289,0.18732,164.54,240.9
r14,Vm14r,33249,1.21,10.447,0.18732,27478,40231
