,parameter,paper,mu,sigma,notes
0,ENO1_Kp2g,0.043,-3.146555163288575,0.5,
1,ENO1_Kpep,0.5,-0.6931471805599453,0.5,
2,ENO1_kcat,7.6,2.028148247292285,0.5,
3,FBA_Kdhap,2.0,0.6931471805599453,0.5,
4,FBA_Keq,0.069,-2.6736487743848776,0.5,
5,FBA_Kf16bp,0.4507,-0.7969533492855345,0.5,
6,FBA_Kgap,2.4,0.8754687373538999,0.5,
7,FBA_Kigap,10.0,2.302585092994046,0.5,
8,FBA_kcat,4.138999999999999,1.4204542127665951,0.5,
9,GPM_Keq,0.19,-0.739,0.28,equilibrator
10,GPM_Kp2g,1.41,0.34358970439007686,0.5,
11,GPM_Kp3g,1.2,0.1823215567939546,0.5,
12,GPM_kcat,400.0,5.991464547107982,0.5,
13,PGK_Kadp,0.2,-1.6094379124341003,0.5,
14,PGK_Katp,1.99,0.688134638736401,0.5,
15,PGK_Kbpg,0.003,-5.809142990314028,0.5,
16,PGK_Keq,3200.0,4.23,0.36,equilibrator
17,PGK_Kp3g,4.58,1.5216989981260935,0.5,
18,PGK_kcat,58.6,4.070734696582967,0.5,
19,PGK_nHadp,2.0,0.6931471805599453,0.5,
20,TDH1_Kbpg,0.0098,-4.62537289330561,0.5,
21,TDH1_Kgap,0.495,-0.7031975164134467,0.5,
22,TDH1_Knad,0.09,-2.4079456086518722,0.5,
23,TDH1_Knadh,0.06,-2.8134107167600364,0.5,
24,TDH1_kcat,19.12,2.9507349076232554,0.5,
25,TPI_Kdhap,6.454,1.86470009362977,0.5,
26,TPI_Keq,0.045,-3.101092789211817,0.5,
27,TPI_Kgap,5.25,1.6582280766035324,0.5,
28,TPI_Kigap,35.1,3.55820113047182,0.5,
29,TPI_kcat,564.38,6.335727783489703,0.5,
30,TDH3_Kbpg,0.909,-0.09541018480465818,0.5,
31,TDH3_Kgap,0.423,-0.8603830999358592,0.5,
32,TDH3_Knad,0.09,-2.4079456086518722,0.5,
33,TDH3_Knadh,0.06,-2.8134107167600364,0.5,
34,TDH3_kcat,18.162,2.8993314992676367,0.5,
35,TDH2_Kbpg,0.0098,-4.62537289330561,0.5,
36,TDH2_Kgap,0.77,-0.2613647641344075,0.5,
37,TDH2_Knad,0.09,-2.4079456086518722,0.5,
38,TDH2_Knadh,0.06,-2.8134107167600364,0.5,
39,TDH2_kcat,8.633,2.1555920692533856,0.5,
40,ENO2_Kp2g,0.10400000000000001,-2.2633643798407643,0.5,
41,ENO2_Kpep,0.5,-0.6931471805599453,0.5,
42,ENO2_kcat,19.87,2.9892110565637253,0.5,
